id,label_type,WER_clean,WER_baseline
1065,word_del,0.0,0.0
1086,word_del,0.0,0.0
1138,word_del,0.0,0.0
1204,word_del,0.0,0.0
1079,word_del,0.0,0.0
11,word_del,0.0,0.0
1129,word_del,0.0,0.0
1043,word_del,0.0,0.0
1209,word_del,0.0,0.0
1160,word_del,0.0,0.0
1135,word_del,0.0,0.0
1227,word_del,0.0,0.0
1038,word_del,0.0,0.0
1071,word_del,0.0,0.0
101,word_del,0.0,0.0
1013,word_del,0.0,0.0
1121,word_del,0.0,0.0
1057,word_del,0.0,0.0
1174,word_del,0.0,0.0
1029,word_del,0.0,0.0
1201,word_del,0.0,0.0
1019,word_del,0.0,0.0
1206,word_del,0.0,0.0
1158,word_del,0.0,0.0
117,word_del,0.0,0.0
120,word_del,0.0,0.0
1144,word_del,0.0,0.0
1173,word_del,0.0,0.0
1050,word_del,0.0,0.0
1162,word_del,0.0,0.0
1023,word_del,0.0,0.0
106,word_del,0.0,0.0
1181,word_del,0.0,0.0
103,word_del,0.0,0.0
1132,word_del,0.0,0.0
1026,word_del,0.0,0.0
1108,word_del,0.0,0.0
1203,word_del,0.0,0.0
1081,word_del,0.09090909090909091,0.0
1195,word_del,0.0,0.0
1114,word_del,0.0,0.0
112,word_del,0.0,0.0
1123,word_del,0.0,0.0
1055,word_del,0.0,0.0
1093,word_pau,0.0,0.0
1153,word_pau,0.0,0.0
1070,word_pau,0.0,0.0
1012,word_pau,0.0,0.0
1025,word_pau,0.0,0.0
1120,word_pau,0.0,0.0
1056,word_pau,0.0,0.0
1061,word_pau,0.5,0.0
1142,word_pau,0.0,0.0
1082,word_pau,0.0,0.0
1125,word_pau,0.0,0.0
1031,word_pau,0.0,0.0
1170,word_pau,0.0,0.0
1147,word_pau,0.0,0.0
1064,word_pau,0.0,0.0
1087,word_pau,0.0,0.0
1096,word_pau,0.0,0.0
1069,word_pau,0.0,0.0
10,word_pau,0.2222222222222222,0.0
1042,word_pau,0.0,0.0
105,word_pau,0.0,0.0
1134,word_pau,0.0,0.0
1103,word_pau,0.0,0.0
1166,word_pau,0.0,0.0
1045,word_pau,0.0,0.0
1072,word_pau,0.16666666666666666,0.0
1133,word_pau,0.0,0.0
102,word_pau,0.0,0.0
1104,word_pau,0.0,0.0
1091,word_pau,0.0,0.0
1080,word_pau,0.0,0.0
1109,word_pau,0.0,0.0
1054,word_pau,0.0,0.0
1140,word_pau,0.0,0.0
1127,word_pau,0.0,0.0
1110,word_pau,0.0,0.0
1033,word_pau,0.0,0.0
1004,word_pau,0.0,0.0
1051,word_pau,0.0,0.0
1066,word_pau,0.0,0.0
1099,word_pau,0.0,0.0
1077,word_pau,0.0,0.0
1040,word_pau,0.0,0.0
107,word_pau,0.0,0.0
1148,word_pau,0.0,0.0
1009,word_pau,0.0,0.0
1113,word_pau,0.0,0.0
1124,word_pau,0.0,0.0
115,word_pau,0.0,0.0
1007,word_pau,0.0,0.0
1171,word_pau,0.0,0.0
1065,word_pau,0.16666666666666666,0.0
1052,word_pau,0.0,0.0
1086,word_pau,0.0,0.0
1079,word_pau,0.0,0.0
11,word_pau,0.0,0.0
1043,word_pau,0.0,0.0
1157,word_pau,0.0,0.0
1160,word_pau,0.0,0.0
1016,word_pau,0.0,0.0
104,word_pau,0.0,0.0
1102,word_pau,0.0,0.0
1092,word_pau,0.0,0.0
1165,word_pau,0.0,0.0
1107,word_pau,0.0,0.0
101,word_pau,0.0,0.0
1013,word_pau,0.0,0.0
1002,word_pau,0.0,0.0
1116,word_pau,0.0,0.0
1057,word_pau,0.16666666666666666,0.16666666666666666
1060,word_pau,0.0,0.0
1143,word_pau,0.0,0.0
1084,word_pau,0.0,0.0
1019,word_pau,0.0,0.0
1158,word_pau,0.0,0.0
1098,word_pau,0.0,0.0
117,word_pau,0.0,0.0
1111,word_pau,0.0,0.0
1005,word_pau,0.0,0.0
1050,word_pau,0.0,0.0
1076,word_pau,0.0,0.0
1162,word_pau,0.0,0.0
1100,word_pau,0.0,0.0
1137,word_pau,0.0,0.0
1089,word_pau,0.0,0.0
1149,word_pau,0.0,0.0
1150,word_pau,0.0,0.0
1167,word_pau,0.0,0.0
1044,word_pau,0.0,0.0
1132,word_pau,0.0,0.0
1105,word_pau,0.0,0.0
1058,word_pau,0.0,0.0
1119,word_pau,0.0,0.0
1108,word_pau,0.0,0.0
1049,word_pau,0.0,0.0
1037,word_pau,0.5555555555555556,0.0
112,word_pau,0.0,0.0
1123,word_pau,0.0,0.0
1062,word_pau,0.0,0.0
1055,word_pau,0.0,0.0
1164,word_sub,0.0,0.0
1153,word_sub,0.0,0.0
1070,word_sub,0.0,0.0
1106,word_sub,0.0,0.0
100,word_sub,0.0,0.0
1034,word_sub,0.0,0.0
1003,word_sub,0.0,0.0
1061,word_sub,0.0,0.0
1082,word_sub,0.0,0.0
1196,word_sub,0.0,0.0
1125,word_sub,1.0,0.2857142857142857
1147,word_sub,0.0,0.0
1064,word_sub,0.0,0.0
1053,word_sub,0.0,0.0
1193,word_sub,0.0,0.0
1087,word_sub,0.0,0.0
1069,word_sub,0.0,0.0
119,word_sub,0.0,0.0
1128,word_sub,0.0,0.0
1075,word_sub,0.0,0.0
1156,word_sub,0.0,0.0
1161,word_sub,0.0,0.0
1020,word_sub,0.0,0.0
1017,word_sub,0.0,0.0
105,word_sub,0.0,0.0
1166,word_sub,0.0,0.0
1045,word_sub,0.0,0.0
1072,word_sub,0.0,0.0
102,word_sub,0.0,0.0
1010,word_sub,0.0,0.0
1199,word_sub,0.0,0.0
1080,word_sub,0.0,0.0
1194,word_sub,0.0,0.0
1001,word_sub,0.0,0.0
1115,word_sub,0.0,0.0
1122,word_sub,0.0,0.0
113,word_sub,0.0,0.0
1127,word_sub,0.0,0.0
1004,word_sub,0.0,0.0
1145,word_sub,0.0,0.0
1099,word_sub,0.0,0.0
1,word_sub,0.0,0.0
1154,word_sub,0.0,0.0
1101,word_sub,0.0,0.0
1136,word_sub,0.0,0.0
107,word_sub,0.0,0.0
1094,word_sub,0.0,0.0
1180,word_sub,0.0,0.0
12,word_sub,0.0,0.0
1113,word_sub,0.0,0.0
115,word_sub,0.0,0.0
1007,word_sub,0.0,0.0
1146,word_sub,0.4,0.4
1065,word_sub,0.0,0.0
1052,word_sub,0.0,0.0
1192,word_sub,0.0,0.0
109,word_sub,0.0,0.0
1068,word_sub,0.0,0.0
1129,word_sub,0.0,0.0
118,word_sub,0.0,0.0
1097,word_sub,0.0,0.0
1183,word_sub,0.0,0.0
1043,word_sub,0.0,0.0
1021,word_sub,0.0,0.0
1016,word_sub,0.0,0.0
1135,word_sub,0.0,0.0
104,word_sub,0.0,0.0
1092,word_sub,0.0,0.0
1165,word_sub,0.0,0.0
1071,word_sub,0.0,0.0
1035,word_sub,0.0,0.0
1060,word_sub,0.0,0.0
1143,word_sub,0.0,0.0
1029,word_sub,0.0,0.0
1197,word_sub,0.0,0.0
1084,word_sub,0.0,0.0
117,word_sub,0.0,0.0
1005,word_sub,0.0,0.0
1041,word_sub,0.0,0.0
1162,word_sub,0.0,0.0
1100,word_sub,0.0,0.0
1137,word_sub,0.0,0.0
1089,word_sub,0.0,0.0
1095,word_sub,0.0,0.0
1198,word_sub,0.0,0.0
1150,word_sub,0.0,0.0
1044,word_sub,0.0,0.0
1073,word_sub,0.0,0.0
1105,word_sub,0.0,0.0
1011,word_sub,0.0,0.0
1184,word_sub,0.0,0.0
1090,word_sub,0.0,0.0
1081,word_sub,0.0,0.0
1195,word_sub,0.0,0.0
1114,word_sub,0.0,0.0
112,word_sub,0.0,0.0
1123,word_sub,0.0,0.0
1062,word_sub,0.0,0.0
1141,word_sub,0.0,0.0
1189,word_sub,0.0,0.0
